mnemonic,Number of jobs,Median,Mean
E06000001,22000,32481.0,35096
E06000002,28000,29345.0,34348
E06000003,24000,30288.0,33474
E06000004,49000,32790.0,36926
E06000005,27000,30561.0,33931
E06000047,129000,31218.0,35241
E06000057,78000,34079.0,38538
E08000021,63000,32518.0,39348
E08000022,59000,33185.0,36998
E08000023,37000,30451.0,32825
E08000024,77000,29359.0,32088
E08000037,51000,31630.0,35338
E06000006,32000,33318.0,36577
E06000007,64000,34400.0,41047
E06000008,31000,31527.0,34107
E06000009,33000,27256.0,30195
E06000049,103000,36046.0,44303
E06000050,88000,35240.0,40815
E06000063,79000,35298.0,39928
E06000064,63000,33684.0,38185
E08000001,55000,31460.0,35326
E08000002,48000,33051.0,36933
E08000003,122000,32507.0,36991
E08000004,54000,29560.0,35404
E08000005,45000,31182.0,34905
E08000006,71000,31612.0,37638
E08000007,76000,37390.0,42638
E08000008,52000,30909.0,34404
E08000009,60000,38036.0,44520
E08000010,85000,,35620
E08000011,41000,,34165
E08000012,124000,32741.0,37409
E08000013,43000,32386.0,38868
E08000014,64000,33676.0,37321
E08000015,81000,34498.0,38902
E10000017,279000,32341.0,37378
E06000010,65000,28870.0,31421
E06000011,93000,33512.0,37736
E06000012,#,,38003
E06000013,43000,31269.0,37962
E06000014,60000,32251.0,37841
E06000065,156000,32824.0,39721
E08000016,62000,31023.0,35891
E08000017,68000,32161.0,37877
E08000018,58000,31759.0,36672
E08000019,131000,33306.0,37302
E08000032,105000,31153.0,38906
E08000033,48000,31869.0,37517
E08000034,103000,32341.0,35409
E08000035,199000,33946.0,38194
E08000036,86000,29966.0,35234
E06000015,58000,32977.0,38026
E06000016,63000,28390.0,32877
E06000017,11000,37809.0,43792
E06000018,49000,28357.0,32537
E06000061,95000,31998.0,37774
E06000062,117000,34118.0,40907
E10000007,216000,33122.0,38133
E10000018,174000,33948.0,40035
E10000019,196000,31800.0,37092
E10000024,209000,32485.0,37590
E06000019,46000,31449.0,35930
E06000020,57000,33332.0,35414
E06000021,67000,29700.0,33187
E06000051,79000,34198.0,38144
E08000025,188000,31829.0,37227
E08000026,80000,34925.0,#
E08000027,68000,31635.0,36133
E08000028,77000,29594.0,32438
E08000029,54000,38942.0,44168
E08000030,62000,30295.0,#
E08000031,63000,29621.0,33842
E10000028,232000,34204.0,39577
E10000031,165000,36142.0,42978
E10000034,164000,34654.0,40283
E06000031,55000,32941.0,37368
E06000032,41000,33033.0,36541
E06000033,41000,39260.0,44789
E06000034,46000,36334.0,43345
E06000055,53000,,40454
E06000056,84000,40647.0,46378
E10000003,207000,37423.0,43819
E10000012,328000,37333.0,49506
E10000015,305000,41622.0,52523
E10000020,222000,32634.0,37288
E10000029,202000,33926.0,39409
E09000001,#,,#
E09000002,35000,34654.0,38820
E09000003,72000,40961.0,52626
E09000004,57000,43362.0,52066
E09000005,74000,36774.0,47251
E09000006,81000,46370.0,60140
E09000007,39000,44973.0,62687
E09000008,100000,41204.0,47813
E09000009,81000,38097.0,52917
E09000010,57000,38543.0,50805
E09000011,60000,40505.0,51332
E09000012,50000,42522.0,62739
E09000013,44000,44918.0,61446
E09000014,52000,40897.0,51210
E09000015,50000,,47589
E09000016,55000,41394.0,47363
E09000017,74000,40852.0,46983
E09000018,65000,38534.0,45727
E09000019,54000,45021.0,56155
E09000020,25000,,#
E09000021,41000,46020.0,#
E09000022,88000,43422.0,66967
